========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!

WARNING: seq mismatch (expected 854, got 853)
WARNING: seq mismatch (expected 868, got 867)
WARNING: seq mismatch (expected 1832, got 1831)
WARNING: seq mismatch (expected 1846, got 1845)

========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    12 (0.600%)
RTL (us):
  Mean:   2029.130    Std dev: 756.984
  Min:      64.848    Max:     9583.120
  P50:    1787.056    P95:     2804.528
  P99:    4626.224    P99.9:   9321.136
Throughput: 493 msg/s
============================================
===CSV_START===
468,2442512
469,1657968
470,2580480
471,1733376
472,2406384
473,1725152
474,1975504
475,1696064
476,2500800
477,1651472
478,2681280
479,1341680
480,2219264
481,1434992
482,2723808
483,2010272
484,3251376
485,2612720
486,2089056
487,2048944
488,1483904
489,2753312
490,1857792
491,1988320
492,1530768
493,1781376
494,1544976
495,2529568
496,1515472
497,2421536
498,1570080
499,2273152
500,1723648
501,2509328
502,1844896
503,2727296
504,1698176
505,1571200
506,1426960
507,2797424
508,1706512
509,2680336
510,1601328
511,1860640
512,1804400
513,2607824
514,1484160
515,3079120
516,1663760
517,1782048
518,1671456
519,1648240
520,1660864
521,2756176
522,1536384
523,2632800
524,1553104
525,1808720
526,1581248
527,2374464
528,1814864
529,2708736
530,1626208
531,1736112
532,1874400
533,2841904
534,1617248
535,1842992
536,1820528
537,2346784
538,1550352
539,2584160
540,1501824
541,2172448
542,1432912
543,2784624
544,1641264
545,1873952
546,1736928
547,1322128
548,1663536
549,2531632
550,1499712
551,2262928
552,1428016
553,2584464
554,1690496
555,2442272
556,1516816
557,2813696
558,1603200
559,1726112
560,1863568
561,2920176
562,1531312
563,1930368
564,1591824
565,2367520
566,1802944
567,1770976
568,1801984
569,2765184
570,1687072
571,1668608
572,1412768
573,1698144
574,2800496
575,2331056
576,1871264
577,2299632
578,1574784
579,2605424
580,1745120
581,1690080
582,1485216
583,2683344
584,1704944
585,2071504
586,1541488
587,2522336
588,1983968
589,1954448
590,1675056
591,2850592
592,1415936
593,2204272
594,1586432
595,2367280
596,1540352
597,2386128
598,1415712
599,1429312
600,1083680
601,1502992
602,2552576
603,1767424
604,2328640
605,1483504
606,2193664
607,1588528
608,2723104
609,1593600
610,2010432
611,1670960
612,2593872
613,1786704
614,2286832
615,1601472
616,2529280
617,1591280
618,2529232
619,1389088
620,1831616
621,1440064
622,1617760
623,1376976
624,1674656
625,2309552
626,1615040
627,4236240
628,1537152
629,1942496
630,1462496
631,1775328
632,1482832
633,2251632
634,1754896
635,2404848
636,1809584
637,2630928
638,1488768
639,2347984
640,1519776
641,2644320
642,1794112
643,1908400
644,1669312
645,3273488
646,2788032
647,1825424
648,2465184
649,1620784
650,2592800
651,1460272
652,1797696
653,1735744
654,2509952
655,1613504
656,2667040
657,1512224
658,1983040
659,1827024
660,2864800
661,1487872
662,1817216
663,1613104
664,2350096
665,1722736
666,2626208
667,1392656
668,2245840
669,1950432
670,2054272
671,1671152
672,2439968
673,1552736
674,2519440
675,1482144
676,2443056
677,1493648
678,2407936
679,1326688
680,1363936
681,1160144
682,1543248
683,2392144
684,1842384
685,2399328
686,1542544
687,2189584
688,1713280
689,2246816
690,1577392
691,2555504
692,1468800
693,2244400
694,1625104
695,2672448
696,4179136
697,1435296
698,3294656
699,2770224
700,1512736
701,1209744
702,1934800
703,1632736
704,1521056
705,1747856
706,2450400
707,1529504
708,2737296
709,1360272
710,2537952
711,1629504
712,2611632
713,1675296
714,1930640
715,1600944
716,2454336
717,1806272
718,1663280
719,1788800
720,2726320
721,1622336
722,2220608
723,1373888
724,2506272
725,1453584
726,2424416
727,1628560
728,1410752
729,1834608
730,2670240
731,1520992
732,1856512
733,1802704
734,2481072
735,1404896
736,2371360
737,2009888
738,1503728
739,1875536
740,2478368
741,1537792
742,2602928
743,1408880
744,2451728
745,1801504
746,1862928
747,1618288
748,2323328
749,1631392
750,1355536
751,2278256
752,1583520
753,3492240
754,1675856
755,1620256
756,2462832
757,1616464
758,2323648
759,1447840
760,2371760
761,1905200
762,2554240
763,1503376
764,2458192
765,1436992
766,2537552
767,1486992
768,2550944
769,2263808
770,1564800
771,1616416
772,2346032
773,1598832
774,2398704
775,1560192
776,2407008
777,1461824
778,2656816
779,1395072
780,2304960
781,1765680
782,2648400
783,1904816
784,1887648
785,1664560
786,1778416
787,1560144
788,1470176
789,2497904
790,3141840
791,1535280
792,1857232
793,1768624
794,2171024
795,1660896
796,2368720
797,1588096
798,2562064
799,1667840
800,2273968
801,1635200
802,2204848
803,1628144
804,2464880
805,1494624
806,2603792
807,1575456
808,2494416
809,1609376
810,2363296
811,1687872
812,2121600
813,1497952
814,2826640
815,1488784
816,1939968
817,1704176
818,2458512
819,1601488
820,2476560
821,1437392
822,2294864
823,1666848
824,2627232
825,1539584
826,2337472
827,1534624
828,2527216
829,1781120
830,1738096
831,1614880
832,1531744
833,2469776
834,2643872
835,1536336
836,2525456
837,1438944
838,1340928
839,2679504
840,2296688
841,1677632
842,3006512
843,1713168
844,1673280
845,1571568
846,2475664
847,1696832
848,2523296
849,1582640
850,2509120
851,2971520
852,2355824
853,8521888
854,1821888
855,3398512
856,3500864
857,2432512
858,1417904
859,1483008
860,1678480
861,1558352
862,1850944
863,1649488
864,4626224
865,1492960
866,1686640
867,1902144
868,2765056
869,1527824
870,3292832
871,1531152
872,1795808
873,1385328
874,1838864
875,1697376
876,2622000
877,1588272
878,2504512
879,1605856
880,2045904
881,1666624
882,2038992
883,1496080
884,1509680
885,1859680
886,1500176
887,1618048
888,1908256
889,2269392
890,1541536
891,2483392
892,1606592
893,1422864
894,2578912
895,3040416
896,1479872
897,1844384
898,1742512
899,2560240
900,1798208
901,1718080
902,1719136
903,2488224
904,1539792
905,2727344
906,1923920
907,1858096
908,1424624
909,3966032
910,2474816
911,1732576
912,2419872
913,1564048
914,2762608
915,1723120
916,1954320
917,1642128
918,2338208
919,1397712
920,2323728
921,1741552
922,2510432
923,2127904
924,2062368
925,1640560
926,147600
927,1874496
928,1619456
929,2409248
930,1508832
931,2779456
932,1884704
933,1951184
934,1567840
935,1954256
936,1613376
937,2192352
938,1728144
939,2361856
940,1499856
941,2399728
942,1631152
943,2810512
944,1634416
945,1722672
946,1574336
947,1498640
948,2713248
949,2320352
950,1640704
951,2527712
952,1701216
953,2430352
954,1666512
955,2301360
956,1728976
957,3305872
958,1645360
959,2314976
960,1595312
961,2501040
962,1601328
963,2629584
964,2228592
965,1736176
966,2427968
967,1704272
968,2527424
969,1530800
970,2537200
971,1678336
972,1667648
973,1659088
974,2474560
975,1524448
976,1446752
977,1160384
978,4365648
979,1626528
980,1805008
981,1624304
982,2289712
983,1528944
984,1437392
985,1899824
986,1761344
987,2034192
988,1531120
989,3411776
990,2377504
991,1770256
992,2378736
993,1791968
994,2709328
995,1316224
996,1671120
997,1795520
998,1643664
999,2326576
1000,1660864
1001,2655840
1002,1819696
1003,1635888
1004,1492320
1005,2565664
1006,1631968
1007,2369168
1008,1693344
1009,2089024
1010,1615488
1011,2517152
1012,1486064
1013,2343920
1014,1626224
1015,2361664
1016,1635104
1017,1366112
1018,2462944
1019,1375088
1020,1676032
1021,1591440
1022,1855152
1023,1614288
1024,1344576
1025,2600976
1026,2553360
1027,1715088
1028,2325456
1029,1737184
1030,2230704
1031,1669248
1032,2462832
1033,1537968
1034,2672912
1035,1371712
1036,2612608
1037,1549616
1038,1855120
1039,1582512
1040,2652336
1041,1579536
1042,2287968
1043,1480016
1044,1376528
1045,2589440
1046,1501152
1047,1597344
1048,2656272
1049,1842096
1050,1886112
1051,1505312
1052,1367136
1053,2481456
1054,2577104
1055,1446176
1056,2462576
1057,1469424
1058,1548976
1059,2645936
1060,2546160
1061,1544704
1062,2495760
1063,1716400
1064,2551760
1065,1718672
1066,3696128
1067,1916128
1068,1709760
1069,2273744
1070,1675648
1071,1423568
1072,1661856
1073,2252896
1074,1695648
1075,2626768
1076,1870352
1077,1613200
1078,1768336
1079,2177328
1080,1470544
1081,1748240
1082,2541344
1083,3051792
1084,1675248
1085,1922160
1086,1823328
1087,1824240
1088,1604848
1089,2494384
1090,1596112
1091,2525136
1092,1668560
1093,2345744
1094,2393808
1095,2342096
1096,1620816
1097,2902560
1098,2473872
1099,1787312
1100,1832960
1101,1654064
1102,2652512
1103,1525840
1104,2745360
1105,1869264
1106,1824752
1107,1789232
1108,1836192
1109,1697152
1110,2695088
1111,1672304
1112,1714336
1113,1701696
1114,3135776
1115,1507392
1116,1675168
1117,1872464
1118,2615776
1119,1565776
1120,2606112
1121,1748880
1122,1832720
1123,1495696
1124,1465968
1125,1732256
1126,2220576
1127,1533488
1128,1461008
1129,1761440
1130,1414768
1131,3531008
1132,2469664
1133,1620016
1134,2211632
1135,1661520
1136,2336512
1137,1537328
1138,2572640
1139,1653072
1140,2171504
1141,1633584
1142,2342784
1143,1831696
1144,2477440
1145,1554048
1146,2536336
1147,1627232
1148,2218480
1149,1605728
1150,2816272
1151,1391472
1152,3611120
1153,2560416
1154,1563936
1155,3672160
1156,3347344
1157,1570720
1158,1586896
1159,1666160
1160,2312128
1161,1477712
1162,2514064
1163,1501536
1164,2481120
1165,1719648
1166,2800624
1167,1612464
1168,1652128
1169,1586768
1170,2279712
1171,1453216
1172,1435376
1173,1528080
1174,1570544
1175,2396496
1176,1508352
1177,2861904
1178,1666688
1179,1958144
1180,1801744
1181,1866432
1182,1789184
1183,2825200
1184,1880288
1185,1808240
1186,1739696
1187,2688672
1188,1657536
1189,1648400
1190,1633632
1191,2576656
1192,1586560
1193,2245856
1194,1662768
1195,2778016
1196,1790704
1197,1951120
1198,1678624
1199,2502160
1200,1529216
1201,1668592
1202,1626368
1203,2599568
1204,1573296
1205,2999744
1206,1616480
1207,1990528
