stress-ng: info:  [421] setting to a 60 second run per stressor
stress-ng: info:  [421] dispatching hogs: 2 cpu, 2 io, 2 cache, 2 stream
stress-ng: info:  [428] stress-ng-stream: using built-in defaults as no suitable cache found
stress-ng: info:  [428] stress-ng-stream: stressor loosely based on a variant of the STREAM benchmark code
stress-ng: info:  [428] stress-ng-stream: do NOT submit any of these results to the STREAM benchmark results
stress-ng: info:  [428] stress-ng-stream: Using CPU cache size of 2048K
stress-ng: info:  [429] stress-ng-stream: memory rate: 54.14 MB/sec, 21.66 Mflop/sec (instance 1)
stress-ng: info:  [428] stress-ng-stream: memory rate: 54.77 MB/sec, 21.91 Mflop/sec (instance 0)
stress-ng: info:  [421] successful run completed in 61.99s (1 min, 1.99 secs)
stress-ng: info:  [421] stressor       bogo ops real time  usr time  sys time   bogo ops/s     bogo ops/s
stress-ng: info:  [421]                           (secs)    (secs)    (secs)   (real time) (usr+sys time)
stress-ng: info:  [421] cpu                 404     61.67     26.98      2.22         6.55          13.84
stress-ng: info:  [421] io                 6711     60.02      2.68     22.24       111.82         269.30
stress-ng: info:  [421] cache               292     60.03     26.42      2.76         4.86          10.01
stress-ng: info:  [421] stream              162     60.80     24.88      2.12         2.66           6.00
stress-ng: info:  [421] stream            54.46 memory rate (MB per sec) (average per stressor)
stress-ng: info:  [421] stream            21.78 memory rate (Mflop per sec) (average per stressor)
========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Starting stress-ng workload for 60 seconds...
Command: stress-ng --cpu 0 --cpu-method all --io 2 --cache 2 --stream 2 --timeout 60s --metrics-brief


Stress-ng completed with exit code: 0
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1200
Deadline misses: 1 (0.08%)
Execution time:
  Mean: 192.438 us
  Min: 126.800 us
  Max: 1680.816 us
Jitter:
  Mean: 1483.760 us
  Max: 11227.392 us
Response time:
  Mean: 1676.198 us
  Min: 1105.472 us
  Max: 11368.544 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 397864  11196  31008    0    0    23     4  341  373 58 25 17  0  0
 8  0      0 368104  11196  35236    0    0     0   272  664  669 32 55 13  0  0
 9  0      0 367980  11196  35236    0    0     0     0  837  943 63 37  0  0  0
 8  0      0 367360  11196  35236    0    0     0     0  900 1073 68 32  0  0  0
 9  0      0 366368  11196  35236    0    0     0     0  923 1130 64 36  0  0  0
 8  0      0 366120  11196  35236    0    0     0     0  839  958 74 26  0  0  0
 8  0      0 366120  11196  35236    0    0     0     0  871 1019 74 26  0  0  0
 8  0      0 366120  11196  35236    0    0     0     0  856 1001 77 23  0  0  0
 8  0      0 366120  11196  35236    0    0     0     0  838  990 75 25  0  0  0
 9  0      0 366120  11196  35236    0    0     0     0  864  998 74 26  0  0  0
 8  0      0 366120  11196  35236    0    0     0     0  885 1037 72 28  0  0  0
 8  0      0 366120  11196  35236    0    0     0     0  840  962 78 22  0  0  0
 9  0      0 366120  11196  35236    0    0     0     0  844 1007 76 24  0  0  0
 8  0      0 366120  11196  35236    0    0     0     0  866 1013 77 23  0  0  0
 8  0      0 366120  11196  35236    0    0     0     0  862 1030 74 26  0  0  0
 8  0      0 365004  11196  35236    0    0     0     0  860  994 71 29  0  0  0
 8  0      0 364632  11196  35236    0    0     0     0  826  934 74 26  0  0  0
 8  0      0 364632  11196  35236    0    0     0     0  854 1013 75 25  0  0  0
 8  0      0 364632  11196  35236    0    0     0     0  871 1045 74 26  0  0  0
 8  0      0 364632  11196  35236    0    0     0     0  833  928 77 23  0  0  0
 9  0      0 364632  11196  35236    0    0     0     0  846  982 77 23  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  848  990 75 25  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  834  966 79 21  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  845  957 74 26  0  0  0
 9  0      0 364508  11196  35236    0    0     0     0  895 1065 71 29  0  0  0
 9  0      0 364508  11196  35236    0    0     0     0  845  972 76 24  0  0  0
 9  0      0 364508  11196  35236    0    0     0     0  880 1034 74 26  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  876 1032 73 27  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  869 1054 76 24  0  0  0
 7  0      0 364508  11196  35236    0    0     0     0  884 1039 69 31  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  899 1085 74 26  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  882 1068 69 31  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  852 1011 77 23  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  885 1052 74 26  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  829  947 75 25  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  860 1026 73 27  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  871 1039 77 23  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  885 1072 74 27  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  884 1081 76 24  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  853  992 72 28  0  0  0
 9  0      0 364508  11196  35236    0    0     0     0  881 1030 72 28  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  898 1125 75 25  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  890 1074 75 25  0  0  0
 9  0      0 364508  11196  35236    0    0     0     0  847  960 76 24  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  869 1033 75 25  0  0  0
 9  0      0 364508  11196  35236    0    0     0     0  851 1021 78 22  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  842  983 78 22  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  883 1028 71 29  0  0  0
 8  0      0 364508  11196  35236    0    0     0     0  864 1028 74 26  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  868 1029 74 26  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  892 1079 75 25  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  918 1142 73 27  0  0  0
 9  0      0 364508  11196  35240    0    0     0     0  877 1078 76 24  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  839  963 77 23  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  893 1074 72 28  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  891 1068 74 26  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  862 1014 77 23  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  865 1017 75 25  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  854 1000 73 27  0  0  0
 8  0      0 364508  11196  35240    0    0     0     0  875 1080 74 26  0  0  0
 6  0      0 364384  11196  35240    0    0     0     0  784  863 69 31  0  0  0
 4  0      0 376236  11196  35240    0    0     0     0  513  188 85 15  0  0  0
 0  0      0 397052  11196  31028    0    0     0     0  432  165 42 31 27  0  0
 0  0      0 397052  11196  31016    0    0     0     0   51   53  0  2 97  0  0
 0  0      0 397052  11196  31016    0    0     0     0   38   33  0  2 97  0  0
===VMSTAT_END===
