========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Baseline mode (no stressors) for 60 seconds...

Baseline period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1200
Deadline misses: 2 (0.17%)
Execution time:
  Mean: 282.402 us
  Min: 154.224 us
  Max: 2144.768 us
Jitter:
  Mean: 2736.074 us
  Max: 43113.600 us
Response time:
  Mean: 3018.476 us
  Min: 1295.520 us
  Max: 43283.616 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 410176   2536  28456    0    0    83     8   88   52  7 16 76  1  0 1970-01-01 00:01:59
 0  0      0 410176   2536  28452    0    0     0     0   18   25  0  0 100  0  0 1970-01-01 00:02:00
 0  0      0 410176   2536  28452    0    0     0     0   18   17  0  0 100  0  0 1970-01-01 00:02:01
 0  0      0 410176   2536  28452    0    0     0    64   28   25  0  1 100  0  0 1970-01-01 00:02:02
 0  0      0 410176   2536  28452    0    0     0     0   16   19  0  0 100  0  0 1970-01-01 00:02:03
 0  0      0 410052   2544  28456    0    0     0   108   29   33  1  0 98  2  0 1970-01-01 00:02:04
 0  0      0 410052   2544  28456    0    0     0     0   16   19  0  0 100  0  0 1970-01-01 00:02:05
 0  0      0 410052   2544  28456    0    0     0     0   15   16  0  0 100  0  0 1970-01-01 00:02:06
 0  0      0 410052   2544  28456    0    0     0     0   15   17  0  0 100  0  0 1970-01-01 00:02:07
 0  0      0 410052   2544  28456    0    0     0     0   28   29  0  0 100  0  0 1970-01-01 00:02:08
 1  0      0 410052   2544  28456    0    0     0     0   22   19  0  1 99  0  0 1970-01-01 00:02:09
 0  0      0 410052   2552  28456    0    0     0    12   31   33  0  1 98  1  0 1970-01-01 00:02:10
 0  0      0 410052   2552  28456    0    0     0     0   13   14  0  0 100  0  0 1970-01-01 00:02:11
 1  0      0 410052   2552  28456    0    0     0     0   22   24  0  0 100  0  0 1970-01-01 00:02:12
 0  0      0 410052   2552  28456    0    0     0     0   14   19  0  0 100  0  0 1970-01-01 00:02:13
 1  0      0 410052   2552  28456    0    0     0     0   18   16  0  0 99  0  0 1970-01-01 00:02:14
 0  0      0 410052   2552  28456    0    0     0     0   15   19  0  0 100  0  0 1970-01-01 00:02:15
 0  0      0 410052   2560  28456    0    0     0    12   41   44  0  1 98  1  0 1970-01-01 00:02:16
 0  0      0 410052   2560  28456    0    0     0     0   10   14  0  0 100  0  0 1970-01-01 00:02:17
 0  0      0 410052   2560  28456    0    0     0     0   21   21  0  0 100  0  0 1970-01-01 00:02:18
 0  0      0 410052   2560  28456    0    0     0     0   14   19  0  0 100  0  0 1970-01-01 00:02:19
 1  0      0 410052   2560  28456    0    0     0     0   21   22  0  0 99  0  0 1970-01-01 00:02:20
 0  0      0 410052   2560  28456    0    0     0     0   18   19  0  0 100  0  0 1970-01-01 00:02:21
 0  0      0 410052   2568  28456    0    0     0    12   31   36  0  0 98  1  0 1970-01-01 00:02:22
 0  0      0 410052   2568  28456    0    0     0     0   19   22  0  0 100  0  0 1970-01-01 00:02:23
 0  0      0 410052   2568  28456    0    0     0     0   23   21  0  0 99  0  0 1970-01-01 00:02:24
 0  0      0 410052   2568  28456    0    0     0     0   14   16  0  0 100  0  0 1970-01-01 00:02:25
 0  0      0 410052   2568  28456    0    0     0     0   22   22  0  0 99  0  0 1970-01-01 00:02:26
 0  0      0 410052   2568  28456    0    0     0     0   14   14  0  0 100  0  0 1970-01-01 00:02:27
 0  0      0 410052   2576  28456    0    0     0    12   37   41  0  1 98  1  0 1970-01-01 00:02:28
 0  0      0 410052   2576  28456    0    0     0     0   12   15  0  0 100  0  0 1970-01-01 00:02:29
 0  0      0 410052   2576  28456    0    0     0     0   16   17  0  0 100  0  0 1970-01-01 00:02:30
 0  0      0 410052   2576  28456    0    0     0     0   21   20  0  0 100  0  0 1970-01-01 00:02:31
 0  0      0 410052   2576  28456    0    0     0     0   22   25  0  1 98  0  0 1970-01-01 00:02:32
 0  0      0 410052   2576  28456    0    0     0     0   16   16  0  0 100  0  0 1970-01-01 00:02:33
