========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Baseline mode (no stressors) for 60 seconds...

Baseline period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1200
Deadline misses: 1 (0.08%)
Execution time:
  Mean: 255.751 us
  Min: 154.800 us
  Max: 2999.632 us
Jitter:
  Mean: 2910.888 us
  Max: 9232.448 us
Response time:
  Mean: 3166.639 us
  Min: 1540.912 us
  Max: 10115.472 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 409788   2648  28472    0    0    49     6   63   37  5 11 84  0  0 1970-01-01 00:03:18
 0  0      0 409664   2648  28468    0    0     0     0   18   20  0  0 100  0  0 1970-01-01 00:03:19
 0  0      0 409664   2648  28468    0    0     0     0   19   23  0  0 100  0  0 1970-01-01 00:03:20
 0  0      0 409664   2648  28468    0    0     0     0   19   20  0  0 100  0  0 1970-01-01 00:03:21
 0  0      0 409664   2648  28468    0    0     0     0   12   14  0  0 100  0  0 1970-01-01 00:03:22
 0  0      0 409664   2656  28468    0    0     0   112   33   34  0  1 97  2  0 1970-01-01 00:03:23
 0  0      0 409664   2656  28468    0    0     0     0   17   18  0  0 100  0  0 1970-01-01 00:03:24
 0  0      0 409664   2656  28468    0    0     0     0   23   27  0  0 100  0  0 1970-01-01 00:03:25
 0  0      0 409664   2656  28468    0    0     0     0   18   18  0  0 100  0  0 1970-01-01 00:03:26
 0  0      0 409664   2656  28468    0    0     0     0   14   16  0  0 100  0  0 1970-01-01 00:03:27
 1  0      0 409664   2656  28468    0    0     0     0   19   20  0  0 100  0  0 1970-01-01 00:03:28
 1  0      0 409664   2664  28468    0    0     0    12   36   37  0  1 98  1  0 1970-01-01 00:03:29
 0  0      0 409664   2664  28468    0    0     0     0   17   20  1  0 100  0  0 1970-01-01 00:03:30
 2  0      0 409664   2664  28468    0    0     0     0   14   16  0  0 100  0  0 1970-01-01 00:03:31
 1  0      0 409664   2664  28468    0    0     0     0   21   27  0  0 100  0  0 1970-01-01 00:03:32
 0  0      0 409664   2664  28468    0    0     0     0   16   19  0  0 100  0  0 1970-01-01 00:03:33
 0  0      0 409664   2664  28468    0    0     0     0   18   20  0  1 99  0  0 1970-01-01 00:03:34
 0  0      0 409664   2672  28460    0    0     0    28   39   34  0  1 98  2  0 1970-01-01 00:03:35
 0  0      0 409664   2672  28468    0    0     0     0   26   29  0  0 99  0  0 1970-01-01 00:03:36
 1  0      0 409664   2672  28468    0    0     0     0   16   18  0  0 100  0  0 1970-01-01 00:03:37
 0  0      0 409664   2672  28468    0    0     0     0   16   18  0  0 100  0  0 1970-01-01 00:03:38
 0  0      0 409664   2672  28468    0    0     0     0   16   19  0  1 99  0  0 1970-01-01 00:03:39
 0  0      0 409664   2672  28468    0    0     0     0   21   26  0  0 100  0  0 1970-01-01 00:03:40
 0  0      0 409664   2680  28460    0    0     0    12   31   35  0  1 98  2  0 1970-01-01 00:03:41
 0  0      0 409664   2680  28468    0    0     0     0   22   23  0  0 100  0  0 1970-01-01 00:03:42
 1  0      0 409664   2680  28468    0    0     0     0   14   12  0  0 100  0  0 1970-01-01 00:03:43
 0  0      0 409664   2680  28468    0    0     0     0   15   19  0  0 100  0  0 1970-01-01 00:03:45
 0  0      0 409664   2680  28468    0    0     0     0   20   27  0  0 99  0  0 1970-01-01 00:03:46
 0  0      0 409664   2680  28468    0    0     0     0   22   20  0  0 100  0  0 1970-01-01 00:03:47
 0  0      0 409664   2688  28460    0    0     0    12   35   32  0  2 90  9  0 1970-01-01 00:03:48
 0  0      0 409664   2688  28468    0    0     0     0   22   23  0  0 100  0  0 1970-01-01 00:03:49
 0  0      0 409664   2688  28468    0    0     0     0   20   22  0  1 100  0  0 1970-01-01 00:03:50
 0  0      0 409664   2688  28468    0    0     0     0   14   15  0  0 100  0  0 1970-01-01 00:03:51
 0  0      0 409664   2688  28468    0    0     0     0   16   20  0  0 100  0  0 1970-01-01 00:03:52
 0  0      0 409664   2688  28468    0    0     0     0   18   20  0  1 100  0  0 1970-01-01 00:03:53
 0  0      0 409664   2696  28468    0    0     0    12   34   38  0  0 98  1  0 1970-01-01 00:03:54
 0  0      0 409664   2696  28468    0    0     0     0   15   14  0  0 100  0  0 1970-01-01 00:03:55
 0  0      0 409664   2696  28468    0    0     0     0   18   26  0  0 100  0  0 1970-01-01 00:03:56
 0  0      0 409664   2696  28468    0    0     0     0   18   18  0  0 100  0  0 1970-01-01 00:03:57
 0  0      0 409664   2696  28468    0    0     0     0   17   19  0  0 99  0  0 1970-01-01 00:03:58
 1  0      0 409664   2696  28472    0    0     0     0   15   15  0  0 100  0  0 1970-01-01 00:03:59
 0  0      0 409664   2704  28464    0    0     0    12   31   34  0  1 97  1  0 1970-01-01 00:04:00
 0  0      0 409664   2704  28472    0    0     0     0   22   24  0  1 100  0  0 1970-01-01 00:04:01
 0  0      0 409664   2704  28472    0    0     0     0   16   16  0  0 100  0  0 1970-01-01 00:04:02
 0  0      0 409664   2704  28472    0    0     0     0   16   21  0  0 100  0  0 1970-01-01 00:04:03
 0  0      0 409664   2704  28472    0    0     0     0   15   18  0  0 100  0  0 1970-01-01 00:04:04
 1  0      0 409664   2704  28472    0    0     0     0   20   21  1  0 100  0  0 1970-01-01 00:04:05
 0  0      0 409664   2712  28472    0    0     0   160   34   36  0  1 98  1  0 1970-01-01 00:04:06
 1  0      0 409664   2712  28472    0    0     0     0   24   21  0  0 100  0  0 1970-01-01 00:04:07
 0  0      0 409664   2712  28472    0    0     0     0   17   21  0  0 99  0  0 1970-01-01 00:04:08
 0  0      0 409664   2712  28472    0    0     0     0   20   21  0  0 100  0  0 1970-01-01 00:04:09
 1  0      0 409664   2712  28472    0    0     0     0   19   20  0  0 100  0  0 1970-01-01 00:04:10
 0  0      0 409664   2712  28472    0    0     0     0   16   20  0  0 100  0  0 1970-01-01 00:04:11
 0  0      0 409664   2720  28464    0    0     0    12   35   35  1  1 98  1  0 1970-01-01 00:04:12
 0  0      0 409664   2720  28472    0    0     0     0   22   21  0  1 99  0  0 1970-01-01 00:04:13
 1  0      0 409664   2720  28472    0    0     0     0   17   18  0  0 100  0  0 1970-01-01 00:04:14
 1  0      0 409664   2720  28472    0    0     0     0   15   17  0  0 99  0  0 1970-01-01 00:04:15
 0  0      0 409664   2720  28472    0    0     0     0   19   24  0  1 100  0  0 1970-01-01 00:04:16
 0  0      0 409664   2720  28472    0    0     0     0   17   19  0  0 100  0  0 1970-01-01 00:04:17
 0  0      0 409664   2728  28464    0    0     0    12   35   35  1  1 98  2  0 1970-01-01 00:04:18
 0  0      0 409664   2728  28472    0    0     0     0   38   35  0  2 98  0  0 1970-01-01 00:04:19
 0  0      0 409664   2728  28472    0    0     0     0   50   47  0  3 97  0  0 1970-01-01 00:04:20
 0  0      0 409664   2728  28472    0    0     0     0   37   41  0  2 98  0  0 1970-01-01 00:04:21
 0  0      0 409664   2728  28472    0    0     0     0   44   46  0  2 98  0  0 1970-01-01 00:04:22
 1  0      0 409664   2728  28472    0    0     0     0   43   45  0  1 98  0  0 1970-01-01 00:04:23
===VMSTAT_END===
