========================================
SHM Ping-Pong Client
Scenario 2 - EB corbos Linux Evaluation
========================================
Messages:       2000
Message size:   64 B
Poll interval:  100 us
Echo timeout:   10 ms

Waiting for shm_echo to register (UUID: b2c3d4e5-f6a7-8901-bcde-f12345678901)...
Found shm_echo!

WARNING: seq mismatch (expected 55, got 54)

========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
  Mean:   1838.549    Std dev: 600.647
  Min:      55.424    Max:     7467.440
  P50:    1638.496    P95:     2903.344
  P99:    3973.952    P99.9:   7019.808
Throughput: 544 msg/s
============================================
===CSV_START===
Seq,RTT_ns
479,2123856
480,1493024
481,2458896
482,1511136
483,1488688
484,2634832
485,1336960
486,2444736
487,2776960
488,1604864
489,1766736
490,1489760
491,1510336
492,1697792
493,1630048
494,1846800
495,1282560
496,1453328
497,1515184
498,1497840
499,2357232
500,1425520
501,1630512
502,2396672
503,2359344
504,1551584
505,1337984
506,1355856
507,1397584
508,1315024
509,1561856
510,1477936
511,1777280
512,1532048
513,1539744
514,1351360
515,1573072
516,1782256
517,1481312
518,1507520
519,1748592
520,3867200
521,1523408
522,2330880
523,1604160
524,2300784
525,1413440
526,1523312
527,1769888
528,1342928
529,2689024
530,1902320
531,1550272
532,1610144
533,1654144
534,1505104
535,1608176
536,1855216
537,1548928
538,2584128
539,2251600
540,1363872
541,1624800
542,1605296
543,1801616
544,1669824
545,1490336
546,1415648
547,1648224
548,1582528
549,1942912
550,1535728
551,2875952
552,1634272
553,1795648
554,1430976
555,2684928
556,1740080
557,2142096
558,1450336
559,1329776
560,1665680
561,1334016
562,2286208
563,1540432
564,2532128
565,1397296
566,1413280
567,2458992
568,1470464
569,2382992
570,1618160
571,2439280
572,2522400
573,1787264
574,1763840
575,1573312
576,1531664
577,1860752
578,3770576
579,1577456
580,2866400
581,1631760
582,1557024
583,1691968
584,2272576
585,1817520
586,2879936
587,1648624
588,1641728
589,1784160
590,2345088
591,4521152
592,1912464
593,1553664
594,3483024
595,1781776
596,1436432
597,1829296
598,1768208
599,2121872
600,1487728
601,1980160
602,1435888
603,2767552
604,1601232
605,1763328
606,1722528
607,3120496
608,1415536
609,1650992
610,1652448
611,1623328
612,2506272
613,1351712
614,1355248
615,2006112
616,1695968
617,1579936
618,3358944
619,1762928
620,1700256
621,1683968
622,1893952
623,1568144
624,2753680
625,1422656
626,1823040
627,1484352
628,1316896
629,1726224
630,1292784
631,1350960
632,1392272
633,1457232
634,2273648
635,1685168
636,2221632
637,1463120
638,1468592
639,1642064
640,1472624
641,1636560
642,1729520
643,1600544
644,2628288
645,1307984
646,1037104
647,1443920
648,1526080
649,2283120
650,1540224
651,1461984
652,1630416
653,2212736
654,1649360
655,1865456
656,2878672
657,1918928
658,1652128
659,1935152
660,1694096
661,2206464
662,1376016
663,1514288
664,2475200
665,2852944
666,1370784
667,1857728
668,1562256
669,1517152
670,1942688
671,1419952
672,1668448
673,1674576
674,1614064
675,2726608
676,1801856
677,1467728
678,1667616
679,2009440
680,1794608
681,1665056
682,1545696
683,1883088
684,1904064
685,2479408
686,1772704
687,1972304
688,1561088
689,1484720
690,2461648
691,1543248
692,2672624
693,2339264
694,1409680
695,1516528
696,2766720
697,1889552
698,1463344
699,1582544
700,1786880
701,1514048
702,2239264
703,1675296
704,1635568
705,1974032
706,2316160
707,1944800
708,1715952
709,1453872
710,1646016
711,1716704
712,1610128
713,2075456
714,1419120
715,2410768
716,1362848
717,1406384
718,1583248
719,1904992
720,1620448
721,1617488
722,2908272
723,1493280
724,1660336
725,1434528
726,1510176
727,1561680
728,1626064
729,1540240
730,1679360
731,1763056
732,1418896
733,1631712
734,1824352
735,1469824
736,1229856
737,1576960
738,1566736
739,1589808
740,1480576
741,1794976
742,950192
743,1778704
744,2231632
745,1715568
746,1137824
747,1442832
748,1612288
749,1703360
750,1878352
751,2588016
752,1852080
753,1646112
754,1286880
755,1466240
756,1608240
757,1645520
758,2318256
759,1591408
760,1436368
761,2517712
762,2402432
763,1630400
764,1193632
765,1649600
766,1615712
767,1584000
768,1379856
769,1693488
770,2196880
771,1631424
772,1740496
773,1688704
774,2300864
775,1269824
776,1224816
777,2360080
778,1405664
779,2114320
780,1404992
781,1992464
782,1387664
783,2153424
784,1747360
785,2376816
786,1323696
787,2630848
788,1656752
789,2454544
790,1480560
791,1180912
792,2048336
793,1504816
794,1776064
795,1424128
796,1950336
797,1603792
798,1541504
799,1574640
800,1629824
801,1718304
802,1790944
803,1381888
804,1688592
805,1479792
806,1821520
807,1714256
808,2449840
809,1687904
810,2386128
811,1636000
812,1588480
813,1519568
814,1678944
815,1878320
816,1761344
817,1802944
818,1489360
819,2862112
820,1478048
821,1803328
822,1747488
823,2366704
824,1662480
825,1962064
826,1355840
827,1662192
828,1863664
829,1331136
830,2538336
831,1541600
832,1670000
833,1482416
834,1558112
835,1453792
836,1714160
837,2182512
838,1683264
839,1745024
840,1628592
841,1300112
842,1404112
843,1324016
844,1438000
845,1687120
846,1334352
847,2144576
848,1534128
849,1395824
850,2385136
851,1397376
852,1609872
853,1566672
854,1629328
855,1775088
856,1469456
857,2657808
858,2746656
859,1735008
860,1598176
861,1487296
862,3228592
863,3747456
864,4470416
865,1441184
866,2146528
867,1516560
868,1760736
869,1363152
870,1480032
871,1669904
872,1562624
873,3152160
874,1821696
875,1435312
876,1351936
877,1560928
878,2542976
879,3640816
880,2720992
881,1589296
882,1272064
883,1585200
884,1409296
885,2116576
886,1384144
887,1535248
888,841872
889,1704432
890,1371424
891,2591216
892,2412464
893,1558192
894,1291568
895,1099296
896,1299936
897,3283568
898,1265616
899,2775104
900,1849712
901,1676736
902,1360944
903,1467024
904,860112
905,1660128
906,2296464
907,1697088
908,1355680
909,2154432
910,3358144
911,3580176
912,1308480
913,1640352
914,3362048
915,1489056
916,1488912
917,2937616
918,1630112
919,2212240
920,1441760
921,2320096
922,1655248
923,1342688
924,2696496
925,2417472
926,1706736
927,3168368
928,1897744
929,1222048
930,1512448
931,1928240
932,1442352
933,1423984
934,1607952
935,1674400
936,2013376
937,1480800
938,1621472
939,2568176
940,2460352
941,1453648
942,1357728
943,1275344
944,1430400
945,1409728
946,2340736
947,1376448
948,1943472
949,1678864
950,1605600
951,1479168
952,3329952
953,1807408
954,1739536
955,1386400
956,2317920
957,1670240
958,1913424
959,1914752
960,1222304
961,1633840
962,1598016
963,2084080
964,1654896
965,2174320
966,1772064
967,1778256
968,1386480
969,1600256
970,2051280
971,1550304
972,1499072
973,1691408
974,2645408
975,1409040
976,2542128
977,1637664
978,2032480
979,1504448
980,1479792
981,1134816
982,1834272
983,2155120
984,1303584
985,1462192
986,1697184
987,2088944
988,1474112
989,1585568
990,1869056
991,1448800
992,1620608
993,1693840
994,1631712
995,1949408
996,1571216
997,2514944
998,1264976
999,1561392
1000,5873024
1001,1780928
1002,1520128
1003,1471200
1004,2386288
1005,1617856
1006,1468688
1007,1792144
1008,2938976
1009,1356720
1010,1751472
1011,1259184
1012,1520016
1013,1749584
1014,1555072
1015,2125328
1016,1230400
1017,1548496
1018,1401584
1019,1762336
1020,1858960
1021,1533584
1022,1495568
1023,2120784
1024,1583744
1025,1672064
1026,1733008
1027,2391296
1028,3358528
1029,1745280
1030,2285088
1031,1663392
1032,2511184
1033,1353616
1034,2746848
1035,1552048
1036,2315072
1037,1348208
1038,2443232
1039,1672576
1040,2498640
1041,1402160
1042,1291008
1043,1464432
1044,1592128
1045,1671392
1046,1445104
1047,1533680
1048,1548128
1049,1771792
1050,1727056
1051,1497696
1052,1663952
1053,1069568
1054,4680864
1055,1606368
1056,1750560
1057,1377696
1058,3976272
1059,2614176
1060,1404656
1061,1443152
1062,1428400
1063,3539936
1064,1320224
1065,2779440
1066,1217184
1067,3604688
1068,7019808
1069,1494544
1070,4231408
1071,3299568
1072,1175632
1073,1461424
1074,1428096
1075,1571120
1076,1371392
1077,1514240
1078,3827232
1079,1264496
1080,1732096
1081,2583408
1082,2173584
1083,1094176
1084,1453824
1085,1273472
1086,2736336
1087,1420816
1088,1416176
1089,1620784
1090,1381856
1091,2277216
1092,2700144
1093,1576176
1094,1513984
1095,1247568
1096,2250640
1097,1528448
1098,1537136
1099,1628752
1100,1581344
1101,1730400
1102,1500304
1103,938496
1104,1393392
1105,1521984
1106,1632208
1107,1486288
1108,1685680
1109,1210640
1110,1570064
1111,1740320
1112,1760720
1113,1632112
1114,1447568
1115,1635312
1116,1736048
1117,1389056
1118,2444896
1119,1568096
1120,2016944
1121,1512512
1122,2435696
1123,1509920
1124,2664720
1125,1458720
1126,1488896
1127,1599472
1128,2319248
1129,1606336
1130,2868592
1131,3453744
1132,1425840
1133,2355872
1134,1456672
1135,1338656
1136,1898496
1137,1419408
1138,2089600
1139,1465456
1140,1410368
1141,2386928
1142,2588912
1143,1598288
1144,2874704
1145,4290496
1146,1449184
1147,1583520
1148,2390288
1149,1523632
1150,2782384
1151,3311776
1152,1521440
1153,1860464
1154,3490976
1155,1491264
1156,2376224
1157,1696656
1158,2618800
1159,1569296
1160,2702288
1161,1598048
1162,1762368
1163,1459488
1164,1442592
1165,1430864
1166,1464368
1167,1800352
1168,1324448
1169,1375664
1170,1631136
1171,1723840
1172,1393712
1173,2903344
1174,1293520
1175,1326368
1176,1477072
1177,2401792
1178,2473328
1179,1317744
1180,2668304
1181,2762832
1182,1721744
1183,1545568
1184,2187072
1185,1572304
1186,2979472
1187,1632832
1188,1790528
1189,1430128
1190,1906032
1191,1596768
1192,1743536
1193,1596784
1194,3409552
1195,1673488
1196,1487328
1197,958320
1198,1719360
1199,1821248
1200,1452016
1201,1654368
1202,2151088
1203,1478992
1204,1756304
1205,1647536
1206,1748448
1207,1290944
1208,1649888
1209,1513392
1210,1592592
1211,2393488
1212,1666000
1213,2114544
1214,1373728
1215,1625824
1216,2197776
1217,3398768
1218,1541600
1219,2130288
1220,1436944
1221,2310672
1222,1430224
1223,1264048
1224,1798128
1225,1639632
1226,1597200
1227,1775744
1228,2822208
1229,1473536
1230,2210800
1231,1344048
1232,1483920
1233,1179184
1234,1911616
1235,1525472
1236,1571760
1237,1528832
1238,1517360
1239,1985360
1240,1618224
1241,1593344
1242,1243872
1243,1590128
1244,1402496
1245,2284128
1246,1216160
1247,2295360
1248,1736448
1249,2106720
1250,1746208
1251,1431168
1252,2671168
1253,3458176
1254,1662048
1255,2696832
1256,2704432
1257,1589648
1258,2147792
1259,1578400
1260,2342848
1261,1355344
1262,1451904
1263,1583360
1264,1384576
1265,1686736
1266,1416016
1267,1455024
1268,1683776
1269,1648800
1270,2254544
1271,1631360
1272,2184192
1273,1427040
1274,1456800
1275,1580240
1276,1682912
1277,2203744
1278,4304880
1279,1796576
1280,1749344
1281,1481968
1282,2000448
1283,1624464
1284,2555088
1285,1385424
1286,1447568
1287,2563376
1288,2406432
1289,1501792
1290,1428896
1291,1711296
1292,1461152
1293,1581952
1294,1390064
1295,2949696
1296,1752256
1297,1308768
1298,2568544
1299,2321248
1300,1344176
1301,1680016
1302,920064
1303,1342192
1304,1357488
1305,1749456
1306,1792016
1307,1584032
1308,1352976
1309,1458400
1310,1413840
1311,1503776
1312,2412928
1313,1611328
1314,2942592
1315,1599920
1316,1557104
1317,1566160
1318,1458992
1319,2488048
1320,2661104
1321,1581888
1322,2173456
1323,1415328
1324,3090672
1325,1640336
1326,2131792
1327,1411920
1328,2824096
1329,1659648
1330,1557760
1331,1472432
1332,2797520
1333,1816400
1334,1621440
1335,1300192
1336,1466656
1337,1567584
1338,1249408
1339,1755312
1340,2531632
1341,1368880
1342,2541808
1343,1555648
1344,2596896
1345,1127600
1346,1468448
1347,1641392
1348,2804800
1349,1427216
1350,2735744
1351,1595680
1352,1441568
1353,1342896
1354,1587952
1355,1571488
1356,1377520
1357,2692208
1358,1563776
1359,2020736
1360,1566304
1361,1797776
1362,1766320
1363,1423312
1364,2269584
1365,1323008
1366,1641488
1367,2836464
1368,1716640
1369,3028560
1370,1380736
1371,1595456
1372,1538448
1373,1481376
1374,1191632
1375,1589072
1376,1301360
1377,2423248
1378,1620672
1379,2222192
1380,1425344
1381,1511648
1382,2739760
1383,1283152
1384,2143120
1385,1571936
1386,1537088
1387,1378992
1388,2388208
1389,1629056
1390,1857808
1391,2499952
1392,2288848
1393,1453440
1394,2107280
1395,1596368
1396,1518912
1397,1427712
1398,2937840
1399,1269376
1400,1888080
1401,1517136
1402,3283504
1403,3708000
1404,1670336
1405,1801776
1406,1293888
1407,1447904
1408,1957056
1409,1488320
1410,2291056
1411,1538592
1412,2353104
1413,1291184
1414,4127440
1415,1456992
1416,2055072
1417,1739968
1418,1624784
1419,1630144
1420,2263936
1421,3591440
1422,1429616
1423,1469744
1424,1527424
1425,1434672
1426,2565648
1427,1533056
1428,2178720
1429,1729584
1430,3913504
1431,2327248
1432,1517648
1433,2209712
1434,3083792
1435,2354912
1436,1371536
1437,1550672
1438,1379552
1439,2296832
1440,1443552
1441,2424896
1442,1501632
1443,2509936
1444,86848
1445,1746352
1446,2292624
1447,1576304
1448,2969824
1449,1820512
1450,1782432
1451,1656896
1452,2164576
1453,1501248
1454,2847024
1455,2578352
1456,839728
1457,1550112
1458,1410000
1459,1597936
1460,1262848
1461,2251616
1462,1548160
1463,2295216
1464,1358976
1465,1576640
1466,1615936
1467,1310544
1468,1141872
1469,2873520
1470,3363168
1471,4136384
1472,1671904
1473,1637664
1474,1778000
1475,1429328
1476,2375840
1477,1280000
1478,1729584
1479,1424832
1480,1758816
1481,1782176
1482,1312448
1483,2074944
1484,1590720
1485,1728288
1486,1700464
1487,2025264
1488,1492016
1489,1563360
1490,2161968
1491,1572992
1492,1743216
1493,1375728
1494,2349536
1495,1733488
1496,2065152
1497,1591216
1498,2333472
1499,1638496
1500,1797552
1501,1955920
1502,1530496
1503,2361296
1504,1610304
1505,2892896
1506,1803920
1507,1785616
1508,1578032
1509,1111072
1510,1307120
1511,3037632
1512,1579936
1513,1588224
1514,1811840
1515,2347344
1516,1294624
1517,1378208
1518,1506240
1519,1342496
1520,1444032
1521,2558192
1522,2462672
1523,1376928
1524,1541136
1525,1725424
1526,1709184
1527,1646224
1528,1237920
1529,2866864
1530,1497408
1531,2343952
1532,1387424
1533,1568144
1534,1660304
1535,1702832
1536,1670960
1537,1617024
1538,1212752
1539,1312448
1540,1331392
1541,1495168
1542,2635056
1543,1208656
1544,1771312
1545,4029744
1546,1669664
1547,1582368
1548,1488640
1549,1402752
1550,1707824
1551,1563968
1552,1987856
1553,1428960
1554,1361728
1555,2771984
1556,1767248
1557,1361680
1558,1650928
1559,1419440
1560,1446880
1561,1311152
1562,1648208
1563,1387760
1564,2391424
1565,1568656
1566,1807216
1567,1358208
1568,1663184
1569,1810352
1570,1488736
1571,1733264
1572,1250512
1573,1319872
1574,1593536
1575,1525584
1576,1483072
1577,2690528
1578,1901824
1579,1347072
1580,1631856
1581,1513744
1582,1551920
1583,1911376
1584,1533216
1585,1519456
1586,1622336
1587,3769712
1588,1379392
1589,1624736
1590,1609552
1591,1915440
1592,1573632
1593,1570656
1594,1507952
1595,1562624
1596,2203216
1597,1625312
1598,3861840
1599,3494736
1600,1487376
1601,1787072
1602,1569904
1603,1708576
1604,1446144
1605,1701792
1606,1637552
1607,1609104
1608,1921888
1609,1608656
1610,1268400
1611,3025184
1612,1777440
1613,1580208
1614,1503152
1615,2342416
1616,1657488
1617,2470112
1618,1347872
1619,1430592
1620,1677680
1621,7467440
1622,3031184
1623,1649472
1624,1583264
1625,1815104
1626,2396576
1627,1529104
1628,1485216
1629,2343120
1630,1522608
1631,1777936
1632,1636320
1633,1787424
1634,1499408
1635,1195184
1636,1495808
1637,1757360
1638,2020800
1639,3435600
1640,1815680
1641,1398048
1642,1489056
1643,1766208
1644,2191216
1645,3313648
1646,1574528
1647,1328880
1648,1475408
1649,1390208
1650,1372992
1651,2510624
1652,1547680
1653,2770608
1654,2366416
1655,1371152
1656,2660048
1657,1657584
1658,2086992
1659,1525344
1660,1388528
1661,1167808
1662,1485328
1663,2597568
1664,1820880
1665,2041328
1666,1315440
1667,2621872
1668,1272080
1669,1516400
1670,1620912
1671,1345424
1672,1780416
1673,1559360
1674,1402064
1675,1554896
1676,1985872
1677,2206896
1678,1460112
1679,1818176
1680,1757440
1681,1390944
1682,1764752
1683,1238144
1684,3282368
1685,1694688
1686,1991488
1687,1604656
1688,1675056
1689,1656128
1690,1784688
1691,1476640
1692,1543152
1693,1710816
1694,1632096
1695,1583312
1696,1946480
1697,2387984
1698,2817856
1699,1101520
1700,1428592
1701,2582752
1702,1674016
1703,2452896
1704,1442944
1705,2300368
1706,1519424
1707,1518432
1708,2307760
1709,1368448
1710,1454560
1711,1472656
1712,1390272
1713,2426192
1714,1482640
1715,1006944
1716,1520944
1717,2376352
1718,1564656
1719,1332000
1720,2000160
1721,1723728
1722,1809216
1723,1639616
1724,2804144
1725,1518960
1726,1853552
1727,1567072
1728,1709504
1729,1358240
1730,1418432
1731,1449136
1732,1700512
1733,1386528
1734,1556464
1735,1605680
1736,1786560
1737,1799248
1738,2486336
1739,1352032
1740,2480912
1741,1829328
1742,1836784
1743,1359776
1744,3259936
1745,1466960
1746,1798592
1747,1725184
1748,1578656
1749,2032240
1750,1574304
1751,2032976
1752,1886992
1753,1774480
1754,1754720
1755,1517488
1756,1560976
1757,1519136
1758,1534896
1759,1522448
1760,2023296
1761,1161200
1762,1773648
1763,1654112
1764,1797632
1765,1740704
1766,1774384
1767,1094816
1768,1591072
1769,2633840
1770,1688208
1771,2520128
1772,1654944
1773,1753216
1774,1502480
1775,1371648
1776,1613760
1777,1506544
1778,1619536
1779,1543664
1780,1517088
1781,1666656
1782,1808960
1783,3197504
1784,1480944
1785,1298160
1786,1907040
1787,1868352
1788,1501952
1789,1464992
1790,2567696
1791,2504192
1792,1638864
1793,2286976
1794,1621728
1795,2294512
1796,1214016
1797,1753952
1798,2344944
1799,1547280
1800,970208
1801,1679232
1802,1372240
1803,2300576
1804,1833216
1805,2276560
1806,1253824
1807,1584784
1808,1701872
1809,2023648
1810,1804464
1811,2755920
1812,1803664
1813,1520304
1814,1898048
1815,2145984
1816,1405536
1817,1314432
1818,1405776
1819,1626064
1820,1682432
1821,1827952
1822,1626432
1823,2567344
1824,2553712
1825,1558048
1826,2148704
1827,1514624
1828,1532336
1829,1985344
1830,1390160
1831,1714816
1832,1406480
1833,2455072
1834,1696320
1835,2231872
1836,1383664
1837,1519344
1838,1488928
1839,3329632
1840,1655008
1841,1560272
1842,1016320
1843,1533216
1844,2503280
1845,1510992
1846,2392464
1847,1335376
1848,1414112
1849,1700640
1850,1595152
1851,2117168
1852,1725440
1853,2041824
1854,1440816
1855,1524560
1856,2532704
1857,2547520
1858,1553520
1859,2560512
1860,1564304
1861,1862032
1862,1642080
1863,1510160
1864,1436336
1865,1641696
1866,1780576
1867,1758784
1868,2436144
1869,1397568
1870,1633200
1871,2162464
1872,1661584
1873,1387856
1874,1858320
1875,1874896
1876,1510416
1877,1486896
1878,2163840
1879,1522848
1880,1627680
1881,1660608
1882,1581088
1883,1588336
1884,1501600
1885,2648416
1886,55424
1887,2992224
1888,3973952
1889,2035504
1890,1654992
1891,1405776
1892,2295072
1893,1278576
1894,1726272
1895,1663168
1896,6330912
1897,1807504
1898,1675568
1899,1818160
1900,1990592
1901,2604592
1902,2613008
1903,1555824
1904,1513408
1905,1601824
1906,1750784
1907,2577040
1908,1415344
1909,1619136
1910,1235552
1911,1307104
1912,2085232
1913,1612080
1914,2192832
1915,2678384
1916,1376864
1917,1423840
1918,1364736
1919,1444464
1920,1336352
1921,1183280
1922,1334672
1923,1667248
1924,2479920
1925,1544400
1926,2767920
1927,2403904
1928,2417824
1929,1399184
1930,1184096
1931,1539088
1932,1846176
1933,1420400
1934,1122144
1935,2168208
1936,1440272
1937,2219936
1938,1242208
1939,1231680
1940,1607696
1941,1402912
1942,1416544
1943,1425648
1944,1502496
1945,2741696
1946,1537456
1947,1542688
1948,2163264
1949,1721648
1950,1410736
1951,1525808
1952,3857120
1953,2708160
1954,1804048
1955,2444016
1956,1533664
1957,2310368
1958,1538016
1959,1391776
1960,1578576
1961,1189680
1962,2309312
1963,1514784
1964,1141840
1965,1587664
1966,2493376
1967,2922944
1968,807472
1969,1500880
1970,1427328
1971,1592176
1972,1864160
1973,1638752
1974,1464240
1975,1409104
1976,1477968
1977,1725280
1978,1751280
1979,1626704
1980,2643440
1981,1200272
1982,1785408
1983,1596992
1984,1393760
1985,1304960
1986,1639056
1987,2162560
1988,4695328
1989,2996864
1990,1536272
1991,1615792
1992,1326656
1993,1611792
1994,2888064
1995,1531760
1996,1798656
1997,1580496
===CSV_END===
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 150724   5024  28524    0    0    52    16  191  183 13 23 64  0  0
 1  0      0 150724   5024  28524    0    0     0     0  709 1148  6 23 71  0  0
 1  0      0 150724   5024  28524    0    0     0     0  716 1163  4 23 74  0  0
 1  0      0 150724   5024  28524    0    0     0     0  720 1141  7 20 73  0  0
 0  0      0 150664   5032  28524    0    0     0   120  467  690  5 15 78  1  0
 1  0      0 150664   5032  28524    0    0     0     0   15   18  0  0 100  0  0
 1  0      0 150664   5032  28524    0    0     0     0   12   14  0  0 100  0  0
===VMSTAT_END===
