========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Baseline mode (no stressors) for 60 seconds...

Baseline period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 1199
Deadline misses: 0 (0.00%)
Execution time:
  Mean: 212.513 us
  Min: 150.736 us
  Max: 2161.440 us
Jitter:
  Mean: 1844.129 us
  Max: 5505.200 us
Response time:
  Mean: 2056.642 us
  Min: 1458.256 us
  Max: 5736.768 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 410328   2456  28428    0    0     0    12   35   31  0  0 99  1  0 1970-01-01 00:02:05
 0  0      0 410328   2456  28428    0    0     0     0   22   25  0  1 100  0  0 1970-01-01 00:02:06
 1  0      0 410328   2456  28428    0    0     0     0   23   21  0  0 100  0  0 1970-01-01 00:02:07
 0  0      0 410328   2456  28428    0    0     0     0   21   27  0  0 100  0  0 1970-01-01 00:02:08
 1  0      0 410328   2456  28428    0    0     0     0   17   18  0  0 99  0  0 1970-01-01 00:02:09
 1  0      0 410328   2456  28428    0    0     0     0   18   20  0  0 100  0  0 1970-01-01 00:02:10
 0  0      0 410328   2464  28428    0    0     0    28   32   33  0  1 98  2  0 1970-01-01 00:02:11
 0  0      0 410328   2464  28428    0    0     0     0   31   28  0  1 99  0  0 1970-01-01 00:02:12
 0  0      0 410328   2464  28428    0    0     0     0   18   20  0  0 100  0  0 1970-01-01 00:02:13
 1  0      0 410328   2464  28428    0    0     0     0   24   22  0  0 100  0  0 1970-01-01 00:02:14
 0  0      0 410328   2464  28428    0    0     0     0   19   20  0  0 100  0  0 1970-01-01 00:02:15
 0  0      0 410328   2464  28428    0    0     0     0   24   27  0  1 100  0  0 1970-01-01 00:02:16
 0  0      0 410328   2472  28428    0    0     0    12   39   36  0  1 98  1  0 1970-01-01 00:02:17
 0  0      0 410328   2472  28428    0    0     0     0   26   26  0  0 100  0  0 1970-01-01 00:02:18
 1  0      0 410328   2472  28428    0    0     0     0   21   18  0  0 100  0  0 1970-01-01 00:02:19
