========================================
Stress-NG Workload (Synchronized)
========================================
Initializing shared memory...
Waiting for speedometer to register...
Found speedometer in shared memory!
Sending START command to speedometer...

Baseline mode (no stressors) for 60 seconds...

Baseline period completed.
Sending STOP command to speedometer...
Waiting for statistics from speedometer...

========== RECEIVED SPEEDOMETER STATISTICS ==========
Total cycles: 599
Deadline misses: 0 (0.00%)
Execution time:
  Mean: 219.768 us
  Min: 151.024 us
  Max: 1512.336 us
Jitter:
  Mean: 1974.613 us
  Max: 8791.648 us
Response time:
  Mean: 2194.381 us
  Min: 1313.408 us
  Max: 9234.064 us
====================================================

Stress workload terminated.
===VMSTAT_START===
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 406472   5876  28444    0    0   394    17  232  170 17 41 41  1  0
 2  0      0 404120   8104  28480    0    0  2100     0 1085  142  1 42 56  1  0
 1  0      0 401516  10760  28440    0    0  2656     0  778  267  0 43 51  6  0
 1  0      0 401392  10820  28496    0    0    60     0   45   26  1  3 97  0  0
 0  0      0 401392  10820  28496    0    0     0     0   11   15  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0   100   25   30  0  0 99  1  0
 0  0      0 401392  10820  28496    0    0     0     0   13   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   14   16  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   13   16  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   10   16  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   15   17  0  1 99  0  0
 0  0      0 401392  10820  28496    0    0     0     0   13   14  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   12   13  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   12   18  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   14   17  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   17   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   10   13  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   17   20  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0   188   25   24  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   20   22  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   13   15  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   16   20  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   13   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   16   18  0  0 99  0  0
 0  0      0 401392  10820  28496    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   17   17  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   15   15  0  1 99  0  0
 0  0      0 401392  10820  28496    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   14   17  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   12   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   14   17  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   16   21  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   18   21  0  0 100  0  0
 1  0      0 401392  10820  28496    0    0     0     0   14   17  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   12   12  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   15   17  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   12   17  0  0 99  0  0
 0  0      0 401392  10820  28496    0    0     0     0   12   12  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   16   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   13   16  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   12   19  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0    7    8  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   14   17  0  0 100  0  0
 1  0      0 401392  10820  28496    0    0     0     0   16   18  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   11   20  0  0 100  0  0
 0  0      0 401392  10820  28496    0    0     0     0   14   14  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   14   22  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   18   18  0  1 99  0  0
 0  0      0 401392  10820  28500    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0    7   10  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   15   19  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   16   18  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   15   17  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   10   12  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   16   17  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   18   18  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   13   17  0  0 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   24   28  0  1 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   32   41  0  1 100  0  0
 0  0      0 401392  10820  28500    0    0     0     0   26   38  1  0 100  0  0
 0  0      0 401020  11204  28480    0    0   384     0   96   53  1  3 96  1  0
 1  0      0 401020  11204  28480    0    0     0     0   26   33  0  1 99  0  0
===VMSTAT_END===
